127.0.0.1 - - [06/May/2022:18:05:20 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [06/May/2022:18:05:32 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [06/May/2022:18:05:32 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [06/May/2022:18:05:37 -0300] "GET /gerenciador/formNovaEmpresa.html HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [06/May/2022:18:05:40 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [06/May/2022:18:05:45 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [06/May/2022:18:11:14 -0300] "GET /gerenciador/formNovaEmpresa.html HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [06/May/2022:18:11:20 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [06/May/2022:18:12:17 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [06/May/2022:18:12:23 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [06/May/2022:18:13:47 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [06/May/2022:18:14:19 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [06/May/2022:18:16:21 -0300] "GET /gerenciador/formNovaEmpresa.html HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [06/May/2022:18:16:24 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [06/May/2022:18:16:26 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [06/May/2022:18:18:20 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 153
